43,54680252
212,6464844
182,2861786
18,45242691
0
0,028721113
0,16804406
1,079262972
0,44967252
2,692363024
16,91315651
100,3593445
60,57361603
149,6406708
50,99898911
31,19318199
0,147731498
0,039596908
0,747973621
0,295225471
0,725621283
20,05067635
51,77867889
13,90032101
64,58699799
74,62290192
152,3957062
70,58965302
1,337744117
0,103288487
0,165668532
0,192487717
0,630258083
1,769117951
5,691984177
87,90133667
77,72904205
239,3143921
125,0158234
32,07350922
3,210488081
0,394082457
0,074093245
0,276212722
0,501680076
28,73396683
37,00561905
70,24308777
20,14215279
165,5550842
122,853508
29,45419121
0,518899262
0,198754087
0,294519335
0,164305255
0,726467788
0,9171139
2,829299212
46,41520309
168,4604797
168,5312653
117,2713699
51,32749939
4,188586235
0
0,36934191
0,543223798
0,303905785
1,014003158
2,625504017
70,47248077
153,6499481
75,59210205
55,15067673
2,912227869
0,117740378
0,058889244
0,14265731
0,370067686
0,534027517
0,963781774
3,346741676
18,22987366
97,81761932
120,4103928
100,3442841
71,58368683
4,465955257
0
0,006351772
0,14315547
0,421579242
1,55837214
7,556956291
53,60161972
116,9646225
184,284317
186,2960663
24,22422028
0,39888984
0,296322197
0,071860671
0,289231837
0,626742899
4,745103836
1,354046106
0,865827262
73,18942261
34,19631577
92,23620605
22,84339714
0,625303328
0,399690926
0,058363032
0,233780086
0,454713106
17,63795853
62,28698349
97,2350769
79,91583252
95,72823334
85,24766541
31,88742638
0,45745635
0,045860328
0,052271381
0,038928188
0,362717986
3,426807165
2,767986298
2,946398258
17,69894028
35,27156448
51,57977295
17,12842941
0,106438294
0,232841641
0,067241304
0,221263677
0,223198324
5,45596838
1,441630602
7,173736095
80,33214569
92,26106262
155,0936432
46,34753799
0,337517172
0
0,080025114
0,173211753
0,602903664
11,1023674
26,59399033
52,34304047
178,4965973
223,3010864
160,2484741
57,9965744
2,648514986
0,156448871
0,038423028
0,25963214
2,242324591
1,100047708
16,46567726
48,44603348
77,15042877
38,62179565
80,94487762
27,86079216
3,135561228
0,020741137
0,279586881
0,130766928
0,526952505
9,396557808
58,32999039
85,47180176
145,8650818
184,1899109
135,5387115
49,16542435
0,79589957
0
0,016467761
0,712583661
0,575095475
7,775069237
9,541285515
42,20024872
120,3575211
213,8469849
27,78857231
12,55009937
0,85676223
0,034900498
0,050944824
0,555949152
4,629175663
11,65532017
24,07718849
125,5125351
164,6754761
113,1492233
167,7450867
27,97526932
0,024736732
0,169753283
0,017371232
0,170903832
1,103677154
3,58316803
8,080581665
51,53706741
81,78932953
249,7197723
132,6038055
66,27381897
3,607163906
0,05500875
0,143419802
0,352554232
6,090634823
25,11374855
17,83857918
63,81358337
108,499321
138,2236786
90,9371109
30,22459984
2,462834597
0
0,11555706
0,315520674
2,824076414
14,48774433
10,15845108
101,1301346
186,8703918
107,8181
227,7463531
55,43740463
0,637028575
0
0,179100722
0,099882036
2,500064135
6,6391325
64,0581665
0,8268525
43,10669708
138,1852112
124,3039474
77,92884827
2,768388271
0
0,007278063
0,258359194
7,592980862
21,50597382
72,40759277
19,47126389
91,33443451
77,34089661
132,257782
11,98174667
0,108521484
0
0
0,041266169
0,121179834
4,529702663
3,03935957
184,6880188
23,73830223
133,8562317
90,22664642
55,90037918
0,226980045
0,624405265
0
0,100349262
5,563117981
4,884766102
10,91540813
63,51425171
72,74636841
71,34345245
86,73184204
8,589550018
0,240385443
0
0
0,047127772
0,213032722
0,30719763
0,613556147
125,0696487
211,8713531
347,5614624
189,9645691
36,66119766
0,054846834
0,173971012
0
0,35015884
0,527106404
3,696428537
31,5591507
121,2646561
108,1797562
56,12454605
232,2440948
75,1548996
0,177223787
0
0
0,05099842
0,095977701
18,80125809
7,983828068
9,818174362
150,5962067
235,9653778
154,4132843
11,04272366
0,034979265
0
0
0,487823814
0,171518967
5,361005306
23,25640869
19,52818871
140,0027008
169,3098297
125,8402252
62,87022781
0,060596481
0
0,039465386
0,43146652
0,155993789
32,07184219
31,31313133
34,33141327
53,52841949
119,8683624
128,699646
42,17861176
0,46018523
0
0
0,043290339
4,956258297
3,634160519
13,17490864
74,323349
152,0506287
76,70802307
110,5107574
79,67527008
0,011317803
0
0,069842607
0,051880393
0,936207712
3,357485056
24,55619621
45,22555161
38,68384171
147,5562134
191,891983
69,03439331
0,340477914
0,001369599
0
0,061266147
4,00048399
34,42531204
15,88593578
42,58381653
37,57323837
167,0050507
207,2128906
14,86175251
3,803510427
0,050005935
0,557237208
0,71367383
0,222158656
9,977212906
12,11790466
36,57619476
123,6016617
55,8290596
198,9528351
36,81317902
1,967434764
0,054840501
0,088120766
0,638965607
3,470886707
16,35867691
36,54112244
76,2199707
124,5486069
90,77383423
192,7899933
54,20370102
0,053700376
0,29725799
0,075784162
1,220435381
1,055407524
5,483192921
10,85504532
24,63347054
21,4512043
123,9090424
80,48023224
33,18009186
0,123707831
0,076369956
0,096667729
0,062233116
0,87247926
1,626011729
0,268919289
26,17675781
